0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.78404337,0,-0.0626916,0.01588997,0.18362466,-0.0028001,0,0,0,-0.0005883,-0.0032332,0,0.01234568,-0.0188404,-0.0448429,0,0.00115767,0.00186534,0.00302408
0.75572783,0,-0.0412726,0.06788635,0.17354284,-0.0014287,0,0,0,0.00369666,-0.0050814,0,0.01781545,-0.0194828,-0.0399347,0,-0.0006942,-0.000235,0.00259176
0.89231277,-0.0059005,-0.0753549,-0.0269601,0.06201586,-0.0024922,0.00039837,-0.0006237,-0.0008924,0.00308021,0.00185631,0.00237192,0.01246938,-0.0207572,0,0.0002305,0.00063693,0.00189477,0.00490457
0.85653204,0.00560896,-0.0470691,0.03933353,0.07332308,-0.0026021,-0.0004921,-0.0014266,-0.0006302,0.00551828,-0.0012999,0.00224003,0.0151238,-0.0198742,0,-0.0000258,-0.0009848,-0.000349,0.00407644
0.71725273,-0.0220381,-0.0656135,0.03467739,0.11542548,-0.0024306,0.00239333,0.00017063,0.00078584,0.00538004,-0.0069008,-0.0068461,-0.0059268,-0.0182123,-0.018053,0.00021603,0.00007409,0.00219304,0.00495485
0.66286117,-0.01117,-0.0466811,0.10415677,0.1555825,-0.0009999,0.00123304,-0.0013884,0.00144637,0.00813609,-0.0102919,-0.0027628,0.00179876,-0.0155533,-0.023516,-0.0001317,-0.0013001,-0.0001701,0.0021117
0.79399413,-0.0059004,-0.0630189,0.01801793,0.1619482,-0.0037051,0.00081849,-0.000322,0.00039037,-0.0008896,-0.0041253,-0.003481,0.0026637,-0.0156874,-0.0423665,0.00004032,0.00137467,0.00205882,0.00345549
0.75304949,-0.0039446,-0.0387413,0.07195393,0.15915442,-0.001032,0.0005113,-0.0000761,0.00059102,0.00414472,-0.0062676,-0.0022583,0.01422931,-0.0147802,-0.0393608,-0.0000722,-0.0010331,-0.0001561,0.00204608
0.86826742,-0.0154041,-0.0675775,-0.0346579,0.10827631,-0.0000339,0.00177775,0.000869,0.00039226,0.00834285,0.00051283,-0.0085254,-0.0079404,-0.0189528,-0.013319,0.00024774,-0.0004417,0.00193629,0.00554321
0.85992879,-0.0011788,-0.0570677,0.03259717,0.16789688,-0.00017742,0.00041268,-0.001209,0.00075719,0.01013219,-0.0027625,-0.0034071,0.00021417,-0.0179804,-0.0217781,-0.0001507,-0.0012331,-0.0000557,0.00222115
0.5959323,-0.0473268,-0.0311221,0.03256568,0.21272148,0.00202659,0.00500298,0.00590225,-0.0011901,-0.0030183,-0.0034906,-0.0008778,-0.0043652,-0.0159747,-0.0378695,-0.0008238,-0.0014031,0.00155153,0.00220878
0.55161619,-0.0407162,-0.0182278,0.1035924,0.24491063,0.00285987,0.0042279,0.00407121,-0.0004538,-0.0014684,-0.0060874,0.00187184,0.0019923,-0.0145808,-0.0465148,-0.0010338,-0.00224,-0.0010916,0.00074973
0.67369795,-0.0074701,-0.0419024,0.02388243,0.13744754,0.00223426,0.00279771,0.00605931,-0.0014437,-0.0015165,-0.0038571,-0.0062085,0.00184524,-0.0112623,-0.0250573,-0.0007594,-0.0014674,0.00142162,0.00275213
0.65043819,-0.0062673,-0.0274498,0.08847391,0.1644899,0.00098788,0.00209113,0.00376914,-0.0013728,0.00063718,-0.0062679,-0.0047384,0.00404005,-0.0099758,-0.0306925,-0.0004314,-0.0021041,-0.0008337,0.00182356
0.7718479,-0.0386561,-0.0434294,-0.0346539,0.21522972,0.00393668,0.00409718,0.0054332,-0.0011813,0.00001733,0.00349585,0.00013448,-0.0006779,-0.0197778,-0.0387323,-0.000972,-0.0020006,0.00151529,0.00269907
0.77682841,-0.0288403,-0.0373435,0.03387784,0.26006714,0.00155403,0.00309614,0.00338795,-0.0006225,0.00132589,0.00080919,0.00325629,0.00538607,-0.019556,-0.0503497,-0.0012334,-0.0024747,-0.000763,0.00120785
